Address,First Location name,First Times,Day,Latitude,Longitude
"85 Clarence Street, Hamilton Lake, Hamilton 3204, New Zealand",Pak'nSave Hamilton Lake,2:15 pm - 3:45 pm,5/11/2021 0:00,-37.03949,174.91944
"K-08B The Base Shopping Centre Cnr Te Rapa Road & Wairere Drive, Northgate, Hamilton 3200",HappyTel The Base,11:45 am - 1:00 pm,5/11/2021 0:00,-37.05313,174.93144
"Shop K12, The Base, Te Rapa Road, Northgate, Hamilton 3200",Omni Tech The Base,11:30 am - 12:45 pm,5/11/2021 0:00,-37.03917,174.91938
"Shop R23 Te Awa The Base, Te Rapa Road & Wairere Drive, Hamilton 3200",Typo The Base,11:30 am - 12:45 pm,5/11/2021 0:00,-38.00672,175.34007
"Shop S102A, The Base, The Base Parade, Hamilton 3200",EB Games The Base,12:10 pm - 1:25 pm,5/11/2021 0:00,-38.01113,175.34101
"16 Princess Street, Takanini 2112",Quick 'N' Clean Laundromat,11:50 am - 12:15 pm,3/11/2021 0:00,-38.0005406,175.3406151
"17 Mill Street, Whitiora, Hamilton 3200",Pak'nSave Whitiora,10:45 am - 7:30 pm,3/11/2021 0:00,-38.0121322,175.3255895
"31 Manuroa Road, Takanini 2112",Supa Choice Bakery,12:00 pm - 12:15 pm,3/11/2021 0:00,-38.0121322,175.3255895
"331 Great South Road, Takanini 2112",PAK'n SAVE Papakura,12:35 pm - 1:30 pm,3/11/2021 0:00,-38.0071129,175.315579
"42 Paramount Drive, Henderson, Auckland 0610",Jins NZ Ltd (Fruit and vege store inside H-Mart),9:30 am - 12:00 pm,3/11/2021 0:00,-37.8604801,175.4530866
"43 Anzac Avenue, Auckland Central, Auckland 1010",Cambridge Apartments,12:00 am - 6:00 pm,3/11/2021 0:00,-37.7952931,175.2462323
"52 Rosedale Road, Rosedale, Auckland 0632",BP Rosedale,3:15 am - 3:45 am,3/11/2021 0:00,-37.8173837,175.2831531
"7 Catherine Street, Henderson, Auckland 0612, New Zealand",Inspire45 Bootcamp Henderson,6:30 pm - 7:30 pm,3/11/2021 0:00,-37.7795508,175.2726482
"17 Mill Street, Whitiora, Hamilton 3200",Pak'nSave Whitiora,10:45 am - 7:30 pm,2/11/2021 0:00,-37.7944659,175.2608313
"42 Paramount Drive, Henderson, Auckland 0610",Jins NZ Ltd (Fruit and vege store inside H-Mart),9:30 am - 7:00 pm,2/11/2021 0:00,-35.1156329,173.2652762
"43 Anzac Avenue, Auckland Central, Auckland 1010",Cambridge Apartments,12:00 am - 11:59 pm,2/11/2021 0:00,-38.1853446,175.2121605
"670 Cambridge Road, Te Awamutu 3800",Pak'nSave Te Awamutu,7:00 am - 8:15 am,2/11/2021 0:00,-35.1010461,173.2591049
"16 Urlich Avenue, Melville, Hamilton 3206",Urlich Ave Dairy Hamilton,10:20 am - 11:15 am,1/11/2021 0:00,-38.1859758,175.2113517
"17 Mill Street, Whitiora, Hamilton 3200",Pak'nSave Whitiora,12:45 pm - 10:30 pm,1/11/2021 0:00,-36.6216256,174.6706815
"2/18 Carruth Street, Whangarei 0110",Liquor Land Whangarei Central,12:00 pm - 1:00 pm,1/11/2021 0:00,-36.661572,174.4337602
"3 South Road, Kaitaia 0410, New Zealand",Mobil Kaitaia,8:30 am - 9:15 am,1/11/2021 0:00,-38.1895077,175.2100213
"42 Paramount Drive, Henderson, Auckland 0610",Jins NZ Ltd (Fruit and vege store inside H-Mart),9:30 am - 7:00 pm,1/11/2021 0:00,-38.1895077,175.2100213
"43 Anzac Avenue, Auckland Central, Auckland 1010",Cambridge Apartments,12:00 am - 11:59 pm,1/11/2021 0:00,-38.1874677,175.2110541
"47 Whatawhata Road, Dinsdale, Hamilton 3204",Countdown Dinsdale Hamilton,8:08 am - 9:08 am,1/11/2021 0:00,-35.0486433,173.2567014
"Walton Street, Whangarei 0110",Pak n Save Whangarei,10:45 am - 1:50 pm,1/11/2021 0:00,-35.113279,173.2636374
"17 Mill Street, Whitiora, Hamilton 3200",Pak'nSave Whitiora,10:45 am - 7:30 pm,31/10/2021 0:00,-37.7808608,175.236277
"180 Sloane Street, Te Awamutu 3800",Countdown Te Awamutu,2:45 pm - 3:50 pm,31/10/2021 0:00,-36.9879299,174.8806308
"180 Sloane Street, Te Awamutu, Te Awamutu 3800",Countdown Te Awamutu,11:20 am - 12:20 pm,31/10/2021 0:00,-38.1876701,175.2107957
"43 Anzac Avenue, Auckland Central, Auckland 1010",Cambridge Apartments,12:00 am - 11:59 pm,31/10/2021 0:00,-37.666103,175.1488718
"670 Cambridge Road, Te Awamutu 3800",Pak N Save Te Awamutu,1:45 pm - 3:15 pm,31/10/2021 0:00,-38.0639729,174.8229041
"943 Alexandra Street, Te Awamutu 3800",College Superette Te Awamutu,8:20 am - 9:20 am,31/10/2021 0:00,-38.0635762,174.8226103
"Cnr Te Rapa Road & Wairere Drive, Te Rapa, Hamilton 3200",Chemist Warehouse The Base Te Rapa,2:20 pm - 2:45 pm,31/10/2021 0:00,-37.6745726,175.1577002
"Corner Collard St and State Highway 1, Awanui, 0486",The Awanui Hotel Awanui,5:30 pm - 7:30 pm,31/10/2021 0:00,-37.032366,174.8672795
"150 Great South Road, Ngaruawahia 3720",SuperValue Ngaruawahia,5:30 pm - 7:40 pm,30/10/2021 0:00,-37.808117,175.28757
"34 Avalon Drive, Nawton, Hamilton 3200",GAS Avalon Drive Hamilton,7:45 pm - 8:30 pm,30/10/2021 0:00,-37.8081259,175.2874887
"42 Paramount Drive, Henderson, Auckland 0610",Jins NZ Ltd (Fruit and vege store inside H-Mart),9:30 am - 7:00 pm,30/10/2021 0:00,-38.0638665,174.823381
"43 Anzac Avenue, Auckland Central, Auckland 1010",Cambridge Apartments,12:00 am - 11:59 pm,30/10/2021 0:00,-38.0533264,174.9177625
"47 Whatawhata Road, Dinsdale, Hamilton 3204",Countdown Dinsdale Hamilton,8:00 pm - 9:00 pm,30/10/2021 0:00,-36.2209824,174.5611247
"77 North Road, Kaitaia 0410",Bells Produce Kaitaia,10:45 am - 11:15 am,30/10/2021 0:00,-36.8636869,174.6029661
"115 Commerce Street, Kaitaia 0410",Farmers Kaitaia,12:21 pm - 1:30 pm,29/10/2021 0:00,-43.4885441,172.5885948
"137 Parkhurst Road, Parakai 0830",Four Square Parakai,7:45 am - 8:15 am,29/10/2021 0:00,-35.731585,174.3309416
"23 Jesmond Street, Ngaruawahia 3720",Ngaruawahia Pharmacy,3:10 pm - 4:30 pm,29/10/2021 0:00,-37.7711704,175.2829693
